df_col,cpu->gpu,cost-cpu->gpu,gpu->cpu,cost-gpu->cpu
course_rating_int,3.49,1.4159249708,9.62,3.9930357629959996
course_code,3.49,2.18864816384,12.8,10.66073513376
num_reviews,1.86,0.7433052861,9.41,2.9839915075632
easy,3.2,0.7433052861,8.8,2.9839915075632
index,2.98,0.7433052861,8.81,2.9839915075632
num_ratings,2.56,0.7433052861,9.54,2.9839915075632
useful,2.87,0.7433052861,8.94,2.9839915075632
liked,3.3,0.7433052861,9.06,2.9839915075632
course_rating_int,3.6,1.4159249708,9.24,3.9930357629959996
course_code,3.44,2.18864816384,12.5,10.66073513376
course_rating_mean,1450.0,351.51114912246084,2710.0,1909.17769013676
num_reviews,1050.0,59.277854692292806,1640.0,181.55427066844322
easy,1100.0,59.277854692292806,1770.0,181.55427066844322
index,1060.0,59.277854692292806,1660.0,181.55427066844322
